Gen 1-2 menu icons: Emi Monserrate, Chamber, Solo993, Blue Emerald, Lake, Neslug, Pikachu25, Ryta
Gen 3 menu icons: EeVeeEe1999, MegamanOmega, bloodless
Gen 5-7 menu icons: EeVeeEe1999
Rowlet menu icon: Emi Monserrate

Team Rocket Executive overworld & battle sprites: JaceDeane
Blaine, Blue, Bugsy, Chuck, Clair, Janine, Lt. Surge, Morty, & Whitney battle sprites: Solo993
Karen & Pryce battle sprites: Bronzeswagger
Twins battle sprite: MajinCubyan
Female scientist battle sprite: Solo993
Farfetch'd overworld sprite: Rangi

Kanto badges: DarioEMeloD

- NAME -                    -FRONT-                            -BACK-

Bulbasaur                   Game Freak                        Game Freak
Ivysaur                     Game Freak                        Game Freak
Venusaur                    Game Freak                        Game Freak
Charmander                  Game Freak                        Game Freak
Charmeleon                  Game Freak                        Game Freak
Charizard                   Game Freak                        Game Freak
Squirtle                    Matdemo159                        Game Freak
Wartortle                   Game Freak                        Game Freak
Blastoise                   Game Freak                        Game Freak
Caterpie                    Game Freak                        Game Freak
Metapod                     Game Freak                        Game Freak
Butterfree                  Menyu                             Game Freak
Weedle                      Game Freak                        Game Freak
Kakuna                      Game Freak                        Game Freak
Beedrill                    Game Freak                        Game Freak
Pidgey                      Game Freak                        Game Freak
Pidgeotto                   Game Freak                        Game Freak
Pidgeot                     Game Freak                        Game Freak
Rattata (Kantonian)         Game Freak                        Game Freak
Rattata (Alolan)            Pia Carrot                        Kevin RDS
Raticate (Kantonian)        Game Freak                        Game Freak
Raticate (Alolan)           SkidMarc25                        SkidMarc25
Ekans                       Game Freak                        Game Freak
Arbok                       Game Freak                        Game Freak
Pikachu                     Game Freak                        Game Freak
Raichu (Kantonian)          Game Freak                        Game Freak
Raichu (Alolan)             Blue Emerald, solo993, Chamber, Lake, Neslug, Pikachu25, metalflygon08, JaceDeane, & flempa (Polished Crystal)
Sandshrew (Kantonian)       Game Freak                        Game Freak
Sandshrew (Alolan)          Enderific                         SkidMarc25
Sandslash (Kantonian)       Game Freak                        Game Freak
Sandslash (Alolan)          SkidMarc25                        SkidMarc25
Nidoran♀                    Game Freak                        Game Freak
Nidorina                    Game Freak                        Game Freak
Nidoqueen                   Game Freak                        Game Freak
Nidoran♂                    Game Freak                        Game Freak
Nidorino                    Game Freak                        Game Freak
Nidoking                    Game Freak                        Game Freak
Clefairy                    Game Freak                        Game Freak
Clefable                    Game Freak                        Game Freak
Vulpix (Kantonian)          Game Freak                        Game Freak
Vulpix (Alolan)             Pia Carrot                        Pia Carrot
Ninetales (Kantonian)       Game Freak                        Game Freak
Ninetales (Alolan)          Pia Carrot                        Pia Carrot
Jigglypuff                  Matdemo159                        Game Freak
Wigglytuff                  Game Freak                        Game Freak
Zubat                       Game Freak                        Game Freak
Golbat                      Game Freak                        Game Freak
Oddish                      Game Freak                        Game Freak
Gloom                       Game Freak                        Game Freak
Vileplume                   Game Freak                        Game Freak
Paras                       Game Freak                        Game Freak
Parasect                    Game Freak                        Game Freak
Venonat                     Game Freak                        Game Freak
Venomoth                    Game Freak                        Game Freak
Meowth (Kantonian)          Game Freak                        Game Freak
Meowth (Alolan)             SkidMarc25                        SkidMarc25
Meowth (Galarian)           utytft                            SkidMarc25
Persian (Kantonian)         Game Freak                        Game Freak
Persian (Alolan)            SkidMarc25                        SkidMarc25
Psyduck                     Game Freak                        Game Freak
Golduck                     Game Freak                        Game Freak
